EBITDA,Free Cash Flow,Total Cash,Total Revenue,Revenue/sh,Enterprise Value,Enterprise To Revenue,Enterprise To EBITDA,Sharpe Ratio,Div Payout Ratio,Consecutive Yrs Div Increase,ROE,ROA,Beneish M,Altman Z,S&P 500 Member,Dow Jones Member,Industry,Sector,Company,Symbol,Risk Score,Risk Category
193032992.0,53117624.0,77231000.0,876561984.0,27.3,4751659520.0,5.421,24.616,0.4876505849,0.188,10,0.123,0.077,-2.59,4.87,0,0,Specialty Chemicals,Basic Materials,Balchem Corporation,BCPC,-5,Low
497952992.0,-381424736.0,277990016.0,2060333952.0,24.07,1712124288.0,0.831,3.438,0.3457650839,0.3399999999999999,0,0.15,0.0579999999999999,-2.49,1.7,0,0,Building Materials,Basic Materials,Cementos Pacasmayo S.A.A.,CPAC,0,Medium
89396000.0,15800500.0,23825000.0,128750000.0,0.67,1011266112.0,7.854,11.312,0.3457650839,0.3399999999999999,0,0.1005,0.0469,-6.6006,2.0,0,0,Gold,Basic Materials,Sandstorm Gold Ltd.,SAND,0,Medium
672016000.0,327008640.0,964545024.0,1405794048.0,6.61,2924684800.0,2.08,4.352,0.3457650839,0.243,0,0.064,0.044,-1.82,2.79,0,0,Gold,Basic Materials,SSR Mining Inc.,SSRM,-3,Low
3756999936.0,1305624960.0,1323000064.0,10122999808.0,96.48,7125983232.0,0.704,1.897,0.3457650839,0.046,2,0.302,0.23,-2.29,4.55,0,0,Lumber & Wood Production,Basic Materials,West Fraser Timber Co. Ltd,WFG,-6,Low
36743000.0,-226739632.0,12700000.0,1043396992.0,20.64,5238874624.0,5.021,103.55501999999976,0.3457650839,0.3399999999999999,2,-0.481,-0.105,-0.74,1.36,0,0,Lumber & Wood Production,Basic Materials,Enviva Inc.,EVA,0,Medium
224987008.0,-42340248.0,8446000.0,2698561024.0,234.36,607815872.0,0.225,2.702,0.5279905071,0.046,0,0.236,0.107,-2.16,4.68,0,0,Steel,Basic Materials,"Olympic Steel, Inc.",ZEUS,-6,Low
120544000.0,7598125.0,20682000.0,286699008.0,6.44,464250944.0,1.619,3.851,0.3457650839,0.3399999999999999,0,0.868,0.3060599999999995,-1.05,5.77,0,0,Specialty Chemicals,Basic Materials,"Hudson Technologies, Inc.",HDSN,-3,Low
4558000128.0,1260125056.0,56000000.0,23291000832.0,45.2,11846857728.0,0.509,2.599,0.7161588248,0.3399999999999999,0,0.382,0.124,-2.38,2.55,0,0,Steel,Basic Materials,Cleveland-Cliffs Inc.,CLF,-3,Low
141702000.0,-111888128.0,133674000.0,645803008.0,2.49,2294166272.0,3.552,16.19,0.3457650839,0.3399999999999999,0,-0.0717,0.0024,-2.61,2.06,0,0,Silver,Basic Materials,First Majestic Silver Corp.,AG,0,Medium
427688000.0,261867744.0,156312000.0,800510016.0,75.17,1673887104.0,2.091,3.914,0.3457650839,0.422,1,0.672,0.228,-2.58,2.52,0,0,Agricultural Inputs,Basic Materials,"CVR Partners, LP",UAN,0,Medium
398400000.0,250237504.0,646700032.0,2525700096.0,88.62,1076498944.0,0.426,2.702,0.5546748303,0.06,0,0.174,0.051,-2.85,2.22,0,0,Chemicals,Basic Materials,"Valhi, Inc.",VHI,-3,Low
1074001024.0,489939264.0,488856000.0,9729847296.0,160.5,4206122240.0,0.432,3.916,0.7110558894,0.075,0,0.325,0.2019999999999999,-2.51,7.05,0,0,Lumber & Wood Production,Basic Materials,"UFP Industries, Inc.",UFPI,-6,Low
5986999808.0,3258749952.0,2369999872.0,10158999552.0,48.01,25063913472.0,2.467,4.186,0.870337491,0.091,0,0.7859999999999999,0.241,-2.16,4.44,1,0,Agricultural Inputs,Basic Materials,"CF Industries Holdings, Inc.",CF,-10,Low
2627000064.0,63375000.0,569000000.0,12634999808.0,49.45,36838481920.0,2.916,14.023,0.1533338289,0.3399999999999999,17,-0.089,-0.046,-2.47,1.3,1,0,Specialty Chemicals,Basic Materials,International Flavors & Fragran,IFF,-9,Low
21840095723.519997,5277398528.0,20049842176.0,43494313984.0,32.26,74572914688.0,1.715,3.103,0.3457650839,0.3399999999999999,1,0.6111,0.0943,-2.16,1.83,0,0,Paper & Paper Products,Basic Materials,Suzano S.A.,SUZ,-6,Low
266000000.0,-258969504.0,40900000.0,1811399936.0,29.78,1787058560.0,0.987,6.718,0.3066325606,0.3399999999999999,0,0.25,0.054,-1.78,2.22,0,0,Specialty Chemicals,Basic Materials,Orion Engineered Carbons S.A,OEC,-3,Low
95624000.0,-10272500.0,37843000.0,518820000.0,37.96,2243873792.0,4.325,23.466,0.5438327328,0.624,10,0.344,0.157,-1.75,9.02,0,0,Specialty Chemicals,Basic Materials,WD-40 Company,WDFC,-5,Low
50416476.0,1698562.5,128150676.0,481052000.0,33.46,672973760.0,2.402,5.7445,0.6051224988,0.102,0,0.144,0.127,-2.44,13.1,0,0,Building Materials,Basic Materials,"United States Lime & Minerals,",USLM,-3,Low
5575000064.0,1021687488.0,839100032.0,16554999808.0,44.77,21969278976.0,1.327,3.941,0.6603246478,0.047,1,0.327,0.16,-1.99,3.17,1,0,Agricultural Inputs,Basic Materials,Mosaic Company (The),MOS,-10,Low
521000000.0,147624992.0,629000000.0,2350000128.0,41.78,6363026432.0,2.708,12.213,0.4760550387,0.076,0,0.294,0.143,-1.51,2.75,0,0,Specialty Chemicals,Basic Materials,Ashland Inc.,ASH,-3,Low
3293799936.0,2045629312.0,2577604096.0,6364472832.0,22.28,27778007040.0,4.365,8.433,0.3457650839,0.288,0,0.847,0.3060599999999995,0.63,5.07,0,0,Specialty Chemicals,Basic Materials,Sociedad Quimica y Minera S.A.,SQM,-6,Low
651118976.0,146945120.0,304636992.0,2555053056.0,13.77,1414988288.0,0.554,2.173,0.3457650839,0.3399999999999999,0,0.91,0.272,-1.79,3.39,0,0,Other Industrial Metals & Mining,Basic Materials,Ferroglobe PLC,GSM,-6,Low
363660000.0,52651248.0,1264123008.0,508683008.0,2.89,5011479040.0,9.852,13.781,0.3967795572,0.3399999999999999,0,0.24,0.133,-2.73,4.33,0,0,Other Industrial Metals & Mining,Basic Materials,MP Materials Corp.,MP,-3,Low
588899968.0,212124992.0,645100032.0,5017500160.0,54.87,4398315520.0,0.877,7.469,0.1047290007,0.357,8,0.136,0.045,-2.49,1.89,0,0,Specialty Chemicals,Basic Materials,Avient Corporation,AVNT,-5,Low
1522400000.0,460087488.0,772099968.0,5539100160.0,88.77,25326473216.0,4.572,16.636,0.5134791909,0.185,4,0.126,0.0579999999999999,-2.06,2.76,1,0,Building Materials,Basic Materials,"Martin Marietta Materials, Inc.",MLM,-7,Low
536204000.0,1698562.5,280616992.0,675601024.0,10.3,6108966400.0,9.042,11.393,0.4098035166,0.353,16,0.095,0.085,-3.55,7.4,0,0,Gold,Basic Materials,"Royal Gold, Inc.",RGLD,-8,Low
203600000.0,21725000.0,71400000.0,1729299968.0,69.9,2364702464.0,1.367,11.614,0.4919415262,0.23,7,0.123,0.081,-2.21,5.22,0,0,Specialty Chemicals,Basic Materials,Innospec Inc.,IOSP,-8,Low
-20167640.0,-23491996.0,3807783.0,32631276.0,0.52,160281968.0,4.912,-7.947,0.3457650839,0.3399999999999999,0,1.6675499999999912,-0.536,4.63,-6.44,0,0,Coking Coal,Basic Materials,American Resources Corporation,AREC,7,High
166466608.0,1698562.5,47200000.0,1176066432.0,34.49,2238274304.0,1.903,13.446,0.0712809511,0.3399999999999999,0,-0.09,-0.015,-2.43,2.01,0,0,Other Industrial Metals & Mining,Basic Materials,Compass Minerals Intl Inc,CMP,-3,Low
654000000.0,-59500000.0,208000000.0,4112999936.0,72.73,5426064896.0,1.319,8.297,0.4052239921,0.407,0,0.235,0.059,-1.8,3.24,0,0,Specialty Chemicals,Basic Materials,Cabot Corporation,CBT,-6,Low
1490000000.0,451750016.0,2525600000.0,5118499840.0,59.74,-1847048204.8,-0.396,-1.361,0.3457650839,0.3399999999999999,2,0.225,0.171,-2.91,5.58,0,0,Gold,Basic Materials,DRDGOLD Limited,DRD,-6,Low
231496000.0,57836752.0,202348000.0,1862672000.0,104.51,3632018432.0,1.95,15.689,0.2966780629,0.38,10,0.0579999999999999,0.026,-2.26,2.47,0,0,Specialty Chemicals,Basic Materials,Quaker Houghton,KWR,-5,Low
7856008.0,306876.0,5513973.0,40204608.0,3.26,41719500.0,1.038,5.311,0.3457650839,0.3399999999999999,0,0.144,0.088,-1.59,3.51,0,0,Specialty Chemicals,Basic Materials,Flexible Solutions Internationa,FSI,1,Medium
1292999936.0,672875008.0,1167000064.0,7031000064.0,44.34,6971031040.0,0.991,5.391,0.3015058966,0.175,0,0.765,0.119,-2.47,2.54,0,0,Specialty Chemicals,Basic Materials,Chemours Company (The),CC,-3,Low
-114627000.0,-65551000.0,37103000.0,481052000.0,9.07,299082336.0,2.402,-2.609,0.3457650839,0.3399999999999999,0,-0.805,-0.665,-2.43,2.03,0,0,Other Industrial Metals & Mining,Basic Materials,Skeena Resources Limited,SKE,0,Medium
1384199936.0,457087488.0,609200000.0,5410699776.0,42.67,18384171008.0,3.398,13.281,0.5751306218,0.4,2,0.21,0.06,-2.28,2.94,1,0,Agricultural Inputs,Basic Materials,FMC Corporation,FMC,-7,Low
174748992.0,164398624.0,160640992.0,742510976.0,5.42,2095869952.0,2.823,11.994,-0.525850769,0.3399999999999999,0,0.098,0.038,-2.34,1.13,0,0,Specialty Chemicals,Basic Materials,Ecovyst Inc.,ECVT,3,Medium
-47101000.0,-56604500.0,32110000.0,481052000.0,9.07,235638960.0,2.402,-5.003,0.3457650839,0.3399999999999999,0,-0.5720000000000001,-0.2706,-2.43,2.03,0,0,Other Industrial Metals & Mining,Basic Materials,Nouveau Monde Graphite Inc.,NMG,0,Medium
59922000.0,5735125.0,245000.0,414270016.0,42.07,253779536.0,0.613,4.235,0.3457650839,0.3399999999999999,1,0.239,0.103,-1.41,3.1,0,0,Steel,Basic Materials,Ascent Industries Co.,ACNT,-3,Low
5748400128.0,1145750016.0,2059230976.0,17664188416.0,89.98,6923420160.0,0.392,1.204,0.3457650839,0.3399999999999999,3,0.239,0.156,-2.39,3.23,0,0,Steel,Basic Materials,Ternium S.A. Ternium S.A.,TX,-6,Low
10992000000.0,2305250048.0,711000000.0,34611998720.0,61.77,55265656832.0,1.597,5.028,0.3457650839,0.099,2,0.308,0.146,-2.24,2.51,0,0,Agricultural Inputs,Basic Materials,Nutrien Ltd.,NTR,-3,Low
25460000.0,-11541250.0,16298000.0,348588992.0,50.37,224286448.0,0.643,8.809,0.2268060897,0.715,7,0.068,0.042,-2.49,4.48,0,0,Specialty Chemicals,Basic Materials,Oil-Dri Corporation Of America,ODC,-5,Low
139668992.0,135758752.0,326316000.0,856729984.0,3.37,2314213120.0,2.701,16.569,0.3457650839,0.3399999999999999,0,0.414,0.261,-2.19,1.23,0,0,Other Precious Metals & Mining,Basic Materials,Buenaventura Mining Company Inc,BVN,3,Medium
3790000128.0,2108249984.0,2655000064.0,16702999552.0,22.94,46986043392.0,2.813,12.397,0.8144653997,0.304,0,0.054,0.033,-2.47,2.39,1,0,Agricultural Inputs,Basic Materials,"Corteva, Inc.",CTVA,-7,Low
1495136000.0,72326872.0,672595968.0,8913480704.0,73.88,6180292096.0,0.693,4.134,0.673475163,0.0559999999999999,0,0.413,0.216,-1.71,4.56,0,0,Steel,Basic Materials,Commercial Metals Company,CMC,-6,Low
359983008.0,153232992.0,450796992.0,801211008.0,10.61,1719860992.0,2.147,4.778,0.3172190974,0.3399999999999999,0,0.391,0.15,-2.65,2.43,0,0,Chemicals,Basic Materials,"LSB Industries, Inc.",LXU,0,Medium
50416476.0,48865352.0,25789548.0,44142360.0,3.37,248025056.0,5.619,5.7445,0.3457650839,1.786369999999993,2,1.134,0.3060599999999995,-2.43,21.38149999999986,0,0,Steel,Basic Materials,Mesabi Trust,MSB,1,Medium
606732032.0,170074368.0,362254016.0,2216837888.0,33.57,1951840640.0,0.88,3.217,0.3457650839,0.066,2,0.411,0.123,-2.35,2.46,0,0,Paper & Paper Products,Basic Materials,Mercer International Inc.,MERC,-3,Low
165100000.0,-162500.0,38100000.0,1791900032.0,84.63,1393527168.0,0.778,8.441,0.1672191049,0.046,0,0.183,0.043,-2.46,2.26,0,0,Specialty Chemicals,Basic Materials,Koppers Holdings Inc. Koppers H,KOP,-3,Low
2892000000.0,539124992.0,1432000000.0,13127999488.0,71.95,9141915648.0,0.696,3.161,0.5104832492,0.3399999999999999,1,-0.024,-0.008,-2.52,1.86,0,0,Aluminum,Basic Materials,Alcoa Corporation,AA,-3,Low
2033180.0,-7882251.0,6128843.0,69420272.0,7.55,128284712.0,1.848,63.096,0.3457650839,0.408,4,0.0969999999999999,0.075,-2.95,6.25,0,0,Specialty Chemicals,Basic Materials,Northern Technologies Internati,NTIC,1,Medium
2528999936.0,724625024.0,790000000.0,9564999680.0,87.82,14053638144.0,1.469,5.557,0.5579157787,0.179,0,0.355,0.113,-2.87,2.49,1,0,Chemicals,Basic Materials,Celanese Corporation Celanese C,CE,-7,Low
35535092.0,-33751240.0,79115432.0,63265784.0,6.04,-35360540.0,-0.559,-0.995,0.3457650839,0.3399999999999999,0,0.042,0.038,-3.13,2.64,0,0,Specialty Chemicals,Basic Materials,"Gulf Resources, Inc.",GURE,4,High
1073895936.0,465704992.0,586691968.0,1784540032.0,1.69,2902105344.0,1.626,2.702,0.3457650839,0.3399999999999999,0,0.1463,0.124,-2.85,5.67,0,0,Gold,Basic Materials,B2Gold Corp,BTG,-6,Low
162808608.0,-106654000.0,33504000.0,1679598976.0,82.07,2253539072.0,1.342,13.842,0.6361205641,0.131,0,0.104,0.046,-2.24,3.3,0,0,Other Industrial Metals & Mining,Basic Materials,Materion Corporation,MTRN,-6,Low
4764000.0,-3541375.0,12425000.0,46807000.0,8.97,121849672.0,2.603,25.577,0.3457650839,0.3399999999999999,0,0.025,0.015,-2.27,4.99,0,0,Building Materials,Basic Materials,Smith-Midland Corporation,SMID,1,Medium
101692000.0,-25064500.0,5995000.0,839843008.0,40.15,1094230016.0,1.303,10.76,0.3171988853,0.196,0,0.1889999999999999,0.102,-1.81,4.74,0,0,Specialty Chemicals,Basic Materials,"Hawkins, Inc.",HWKN,-3,Low
327953984.0,146374624.0,17297000.0,1933368960.0,68.59,1270913152.0,0.657,3.875,0.4331407121,0.094,0,0.24,0.113,-2.02,3.23,0,0,Chemicals,Basic Materials,AdvanSix Inc.,ASIX,-6,Low
44639000.0,-248373376.0,533116992.0,3342938880.0,63.87,2202440960.0,0.659,49.339,0.5704578398,0.3399999999999999,0,-0.105,-0.045,-2.03,2.9,0,0,Chemicals,Basic Materials,"Green Plains, Inc.",GPRE,-3,Low
2286000128.0,1742375040.0,470000000.0,10912000000.0,83.71,14110971904.0,1.293,6.173,0.3926417736,0.322,0,0.21,0.076,-2.46,2.62,1,0,Specialty Chemicals,Basic Materials,Eastman Chemical Company,EMN,-7,Low
21840095723.519997,9961339740.159954,13914000384.0,60187000832.0,37.18,94142676992.0,1.564,3.353,0.3457650839,0.344,3,0.35,0.174,-2.69,3.84,0,0,Other Industrial Metals & Mining,Basic Materials,Rio Tinto Plc,RIO,-9,Low
-45792976.0,-12723625.0,23082526.0,188429.0,0.01,127288936.0,133.02822999999944,-2.78,0.3457650839,0.3399999999999999,0,-1.172,-0.93,-2.43,-2.18,0,0,Specialty Chemicals,Basic Materials,"Loop Industries, Inc.",LOOP,7,High
1056308992.0,239006624.0,961793984.0,4577754112.0,62.8,4766159872.0,1.041,4.512,0.3457650839,0.0819999999999999,2,0.259,0.08,-2.59,1.96,0,0,Chemicals,Basic Materials,Methanex Corporation,MEOH,-3,Low
157624000.0,34300248.0,43461000.0,457420000.0,10.36,568606464.0,1.243,3.607,0.4240840046,0.166,0,0.462,0.2689999999999999,-2.75,3.01,0,0,Coking Coal,Basic Materials,"Ramaco Resources, Inc.",METC,-3,Low
2683500032.0,1681262464.0,163600000.0,9829600256.0,65.19,9965039616.0,1.014,3.713,0.5728380097,0.084,0,0.5379999999999999,0.1689999999999999,-2.76,3.25,0,0,Specialty Chemicals,Basic Materials,Olin Corporation,OLN,-6,Low
-9386000.0,-4481375.0,5022000.0,824000.0,0.07,-2392882.0,-2.904,0.255,0.3457650839,0.3399999999999999,0,-1.511,-1.217,-2.43,-13.5942,0,0,Specialty Chemicals,Basic Materials,"SenesTech, Inc.",SNES,7,High
1510800000.0,331982496.0,120700000.0,6617800192.0,49.8,26179045376.0,3.956,17.328,0.413894659,0.351,0,0.089,0.042,-2.26,2.97,1,0,Building Materials,Basic Materials,Vulcan Materials Company (Holdi,VMC,-7,Low
6535000064.0,2192875008.0,3035000064.0,23110000640.0,87.37,6232030208.0,0.27,0.954,0.3835817809,0.046,0,0.348,0.178,-2.62,2.86,0,0,Steel,Basic Materials,United States Steel Corporation,X,-3,Low
1376000000.0,385750016.0,608000000.0,9342999552.0,43.78,7058560000.0,0.755,5.13,0.3930700268,0.152,0,0.2769999999999999,0.129,-3.03,3.3,0,0,Chemicals,Basic Materials,Huntsman Corporation,HUN,-6,Low
12310440.0,-14345211.0,14344077.0,137407872.0,15.97,8336811.0,0.061,0.677,0.3457650839,0.3399999999999999,0,-0.002,-0.002,-2.28,1.6,0,0,Paper & Paper Products,Basic Materials,"IT Tech Packaging, Inc.",ITP,3,Medium
46999000.0,3408875.0,57376000.0,1361355008.0,19.03,306543648.0,0.225,6.522,-0.257999714,0.3399999999999999,0,-0.036,-0.025,-2.21,2.49,0,0,Specialty Chemicals,Basic Materials,"Alto Ingredients, Inc.",ALTO,-3,Low
3196000000.0,719124992.0,516000000.0,9233000448.0,7.18,13932781568.0,1.509,4.359,0.3457650839,0.3399999999999999,2,0.3646,0.1592,-2.18,3.69,0,0,Agricultural Inputs,Basic Materials,ICL Group Ltd.,ICL,-6,Low
926000000.0,167624992.0,91000000.0,3688999936.0,23.84,4633156608.0,1.256,5.003,0.3701952552,0.124,0,0.276,0.0969999999999999,-2.29,1.68,0,0,Chemicals,Basic Materials,Tronox Holdings plc,TROX,0,Medium
664155008.0,359383136.0,84140000.0,2042513024.0,53.03,5556461056.0,2.72,8.366,0.3316028809,0.046,0,0.363,0.157,-2.75,3.87,0,0,Building Materials,Basic Materials,Eagle Materials Inc,EXP,-6,Low
-57249000.0,-64675124.0,470615008.0,673000.0,0.01,156357168.0,133.02822999999944,-2.731,-0.327701427,0.3399999999999999,0,-0.15,-0.127,-1.49,1.35,0,0,Specialty Chemicals,Basic Materials,"Gevo, Inc.",GEVO,7,High
396628992.0,64726000.0,71972000.0,2658807040.0,260.74,3913248000.0,1.472,9.866,-0.008801311,0.415,1,0.283,0.086,-1.78,3.52,0,0,Specialty Chemicals,Basic Materials,NewMarket Corp,NEU,-6,Low
1862082048.0,94242752.0,489697984.0,15202463744.0,10.39,13925131264.0,0.916,7.478,0.3457650839,0.3399999999999999,0,0.114,0.043,-1.79,1.2,0,0,Building Materials,Basic Materials,"Cemex, S.A.B. de C.V. Sponsored",CX,0,Medium
290500000.0,76875000.0,63400000.0,1673500032.0,20.07,1132291584.0,0.677,3.898,0.2866715815,0.214,0,0.19,0.061,-1.84,1.96,0,0,Coking Coal,Basic Materials,"SunCoke Energy, Inc.",SXC,-3,Low
21840095723.519997,9961339740.159954,17539000320.0,65410998272.0,25.85,130801000000.0,2.0,3.474,0.3457650839,0.536,3,0.631,0.299,-2.73,5.65,0,0,Other Industrial Metals & Mining,Basic Materials,BHP Group Limited,BHP,-9,Low
1664811008.0,546681024.0,161732000.0,3885434112.0,210.35,2791518208.0,0.718,1.677,0.3457650839,0.046,0,1.425,0.3060599999999995,-1.67,6.87,0,0,Coking Coal,Basic Materials,"Alpha Metallurgical Resources,",AMR,-6,Low
5455000064.0,1598749952.0,6825999872.0,32811999232.0,42.58,32014995456.0,0.976,5.869,0.3457650839,0.235,0,0.1939999999999999,0.087,-2.5,2.53,0,0,Building Materials,Basic Materials,CRH PLC,CRH,-3,Low
248608000.0,-558625.0,46579000.0,1428750976.0,34.11,3395785728.0,2.377,13.659,0.2078408631,0.494,0,0.146,0.077,-2.25,4.88,0,0,Specialty Chemicals,Basic Materials,Sensient Technologies Corporati,SXT,-6,Low
559699968.0,-315437504.0,35800000.0,4168199936.0,74.93,6366392832.0,1.527,11.375,0.237979076,0.3399999999999999,0,-0.737,-0.084,-2.41,1.56,0,0,Agricultural Inputs,Basic Materials,Scotts Miracle-Gro Company (The,SMG,0,Medium
552505984.0,1698562.5,309262016.0,2059020032.0,47.79,3999781376.0,1.943,7.239,0.7243574467,0.126,0,0.275,0.158,-1.55,4.45,0,0,Lumber & Wood Production,Basic Materials,"Simpson Manufacturing Company,",SSD,-6,Low
-13135000.0,-36315624.0,109038000.0,481052000.0,9.07,-54572492.0,2.402,4.155,0.3457650839,0.3399999999999999,0,-0.088,-0.081,-2.43,2.03,0,0,Other Industrial Metals & Mining,Basic Materials,"Westwater Resources, Inc.",WWR,0,Medium
283400000.0,122675000.0,371200000.0,2124000000.0,18.39,1160810496.0,0.547,4.096,0.2609309328,0.555,0,0.175,0.078,-2.56,2.57,0,0,Specialty Chemicals,Basic Materials,Kronos Worldwide Inc,KRO,-3,Low
434500000.0,110437504.0,131300000.0,1515500032.0,38.78,3587696128.0,2.367,8.257,0.3001885873,0.3399999999999999,0,0.34,0.094,-2.17,2.88,0,0,Specialty Chemicals,Basic Materials,Ingevity Corporation,NGVT,-3,Low
1127399936.0,730137472.0,910600000.0,1332899968.0,6.97,23081836544.0,17.317,20.474,0.3457650839,0.2339999999999999,2,0.122,0.119,-2.88,21.38149999999986,0,0,Gold,Basic Materials,Franco-Nevada Corporation,FNV,-6,Low
-25654980.0,-16183237.0,4252294.0,481052000.0,9.07,45770680.0,2.402,-1.784,0.3457650839,0.3399999999999999,0,-1.108,-0.2721,-2.43,2.03,0,0,Other Precious Metals & Mining,Basic Materials,Integra Resources Corp.,ITRG,0,Medium
743500032.0,200987504.0,524500000.0,4784900096.0,21.42,8477825536.0,1.772,11.403,0.0666436965,0.3399999999999999,0,0.147,0.0289999999999999,-2.45,1.94,0,0,Specialty Chemicals,Basic Materials,Axalta Coating Systems Ltd.,AXTA,-3,Low
28649000.0,41341500.0,168580000.0,365808992.0,8.36,121624672.0,0.332,4.245,0.1077005441,0.4639999999999999,0,0.083,0.067,-3.6,5.52,0,0,Chemicals,Basic Materials,FutureFuel Corp.,FF,-3,Low
